Year,Title,IMDb,RottenTomatoes,Service
2019,Screwball,7.1,78,Netflix
2020,The Old Guard,6.7,78,Netflix
2011,Rango,7.2,78,Netflix
2016,Before I Wake,6.2,78,Netflix
2017,The Disaster Artist,7.4,78,Netflix
2013,Fruitvale Station,7.5,77,Netflix
2017,The Florida Project,7.6,77,Netflix
2018,Behind the Curve,6.5,77,Netflix
2012,Lawless,7.3,77,Netflix
2018,Errementari: The Blacksmith and the Devil,6.4,77,Netflix
2016,Audrie & Daisy,7.2,77,Netflix
2008,Quantum of Solace,6.6,77,Netflix
2012,The Master,7.2,77,Netflix
2004,Layer Cake,7.3,77,Netflix
2010,Flipped,7.7,77,Netflix
2018,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,7.1,77,Netflix
2011,Friends with Benefits,6.5,77,"Hulu, Netflix"
2015,Tig,7.4,77,Netflix
2019,Roll Red Roll,7.1,77,Netflix
2020,Enola Holmes,6.6,77,Netflix
2015,PK,8.1,77,Netflix
2017,Good Time,7.4,77,Netflix
2010,The Next Three Days,7.3,77,Netflix
2019,Miracle in Cell No. 7,8.2,77,Netflix
2007,Like Stars on Earth,8.4,77,Netflix
2019,Trixie Mattel: Moving Parts,7.3,77,Netflix
2012,Talaash,7.2,77,Netflix
2019,Evelyn,7.1,77,Netflix
2001,I Am Sam,7.6,77,Netflix
2019,In the Shadow of the Moon,6.2,77,Netflix
1997,Neon Genesis Evangelion: The End of Evangelion,8.1,77,Netflix
2005,Memoirs of a Geisha,7.3,76,Netflix
1979,Mad Max,6.9,76,Netflix
2018,John Leguizamo's Latin History for Morons,7.5,76,Netflix
2018,And Breathe Normally,6.9,76,Netflix
2017,The Killing of a Sacred Deer,7,76,Netflix
2009,Angels & Demons,6.7,76,"Hulu, Netflix"
2016,Smoke & Mirrors,6.9,76,Netflix
2017,Bright,6.3,76,Netflix
2008,Yes Man,6.8,76,Netflix
2019,Murder Mystery,6,76,Netflix
2016,Pink,8.1,76,Netflix
2018,The Photographer of Mauthausen,6.8,76,Netflix
1988,Midnight Run,7.5,76,Netflix
2018,Flavors of Youth,6.6,76,Netflix
2016,13th,8.2,76,Netflix
2017,Ravenous,5.8,76,Netflix
1999,Austin Powers: The Spy Who Shagged Me,6.6,76,Netflix
