"","Year","Title","IMDb","RottenTomatoes","Netflix","Hulu","PrimeVideo","DisneyPlus","Service"
"317",2017,"The Death of Stalin",7.2,75,1,0,0,0,"Netflix"
"318",2009,"2012",5.8,75,1,1,0,0,"Hulu, Netflix"
"319",2012,"Underworld: Awakening",6.3,74,1,1,0,0,"Hulu, Netflix"
"320",2013,"Philomena",7.6,74,1,0,0,0,"Netflix"
"321",2018,"Sanju",7.7,74,1,0,0,0,"Netflix"
"322",2018,"Nappily Ever After",6.4,74,1,0,0,0,"Netflix"
"323",2021,"I Care a Lot",6.3,74,1,0,0,0,"Netflix"
"324",2013,"The Butler",7.2,74,1,0,0,0,"Netflix"
"325",2017,"Qarib Qarib Singlle",7.1,74,1,0,0,0,"Netflix"
"326",2009,"A Single Man",7.5,74,1,0,0,0,"Netflix"
"327",2015,"Home",6.6,74,1,0,1,0,"Prime Video, Netflix"
"328",2008,"Zack and Miri Make a Porno",6.5,74,1,1,1,0,"Hulu, Prime Video, Netflix"
"329",2018,"Seeing Allred",7,74,1,0,0,0,"Netflix"
"330",2008,"Dostana",6.5,74,1,0,0,0,"Netflix"
"331",2010,"Remember Me",7.1,74,1,0,0,0,"Netflix"
"332",2009,"Underworld: Rise of the Lycans",6.6,74,1,0,0,0,"Netflix"
"333",2009,"The Lovely Bones",6.7,74,1,0,0,0,"Netflix"
"334",2008,"Madagascar: Escape 2 Africa",6.6,74,1,0,0,0,"Netflix"
"335",2011,"No Strings Attached",6.2,74,1,0,1,0,"Prime Video, Netflix"
"336",2017,"Heroin(e)",6.8,74,1,0,0,0,"Netflix"
"337",2017,"A Ghost Story",6.9,74,1,0,0,0,"Netflix"
"338",2012,"Safety Not Guaranteed",7,74,1,0,0,0,"Netflix"
"339",2019,"Game Over",7.1,74,1,0,0,0,"Netflix"
"340",2018,"Peppermint",6.5,74,1,0,0,0,"Netflix"
"341",2020,"Have a Good Trip: Adventures in Psychedelics",6.8,74,1,0,0,0,"Netflix"
"342",2015,"Beasts of No Nation",7.7,74,1,0,0,0,"Netflix"
"343",2018,"Extinction",5.8,74,1,0,0,0,"Netflix"
"344",2020,"Nobody Knows I'm Here",6.5,74,1,0,0,0,"Netflix"
"345",2016,"ARQ",6.4,74,1,0,0,0,"Netflix"
"346",2017,"Ali's Wedding",6.9,74,1,0,0,0,"Netflix"
"347",2016,"Bo Burnham: Make Happy",8.4,74,1,0,0,0,"Netflix"
"348",2020,"Mank",6.9,74,1,0,0,0,"Netflix"
"349",2019,"Extremely Wicked, Shockingly Evil and Vile",6.7,74,1,0,0,0,"Netflix"
"350",2010,"Due Date",6.5,74,1,0,0,0,"Netflix"
"351",2019,"Between Two Ferns: The Movie",6.1,74,1,0,0,0,"Netflix"
"352",2010,"Ip Man 2",7.5,74,1,0,0,0,"Netflix"
"353",2018,"Mirage",7.4,74,1,0,0,0,"Netflix"
"354",2011,"Puss in Boots",6.6,74,1,0,0,0,"Netflix"
"355",2002,"Austin Powers in Goldmember",6.2,74,1,0,0,0,"Netflix"
"356",2018,"The Kissing Booth",6,73,1,0,0,0,"Netflix"
"357",2016,"Hush",6.6,73,1,0,0,0,"Netflix"
"358",2020,"Lost Bullet",6.2,73,1,0,0,0,"Netflix"
"359",2001,"Dil Chahta Hai",8.1,73,1,0,0,0,"Netflix"
"360",1999,"Election",7.2,73,1,0,1,0,"Prime Video, Netflix"
"361",2019,"Soni",7.1,73,1,0,0,0,"Netflix"
"362",2015,"Bāhubali: The Beginning",8,73,1,0,0,0,"Netflix"
"363",2012,"Killing Them Softly",6.2,73,1,0,0,0,"Netflix"
"364",2001,"Swordfish",6.5,73,1,0,0,0,"Netflix"
"365",2021,"Wish Dragon",7.2,73,1,0,0,0,"Netflix"
"366",2017,"Raees",6.8,73,1,0,0,0,"Netflix"
"367",2019,"Let It Snow",5.8,73,1,0,0,0,"Netflix"
"368",2020,"The Babysitter: Killer Queen",5.8,73,1,0,0,0,"Netflix"
